movie_name,genres,rating,year
Carmencita,"Documentary,Short",5.8,1894
Blacksmith Scene,"Short,Comedy",6.2,1893
Corbett and Courtney Before the Kinetograph,"Short,Sport",5.5,1894
Edison Kinetoscopic Record of a Sneeze,"Documentary,Short",5.6,1894
Miss Jerry,Romance,5.6,1894
Akrobatisches Potpourri,"Documentary,Short",5.4,1895
The Arrival of a Train,"Documentary,Short",7.4,1896
The Photographical Congress Arrives in Lyon,"Documentary,Short",5.7,1895
Tables Turned on the Gardener,"Comedy,Short",7.1,1895
Barque sortant du port,"Documentary,Short",5.9,1895
Italienischer Bauerntanz,"Documentary,Short",4.8,1895
Das boxende Känguruh,Short,5.5,1895
The Photographical Congress Arrives in Lyon,"Documentary,Short",5.7,1895
Opening of the Kiel Canal,"Short,News",5.8,1895
The Messers. Lumière at Cards,"Documentary,Short",5.7,1896
Fishing for Goldfish,"Documentary,Short",5.2,1895
Baby's Dinner,"Documentary,Short",5.9,1895
Die Serpentintänzerin,Short,5.2,1895
Awakening of Rip,"Drama,Short",4.5,1896
The Ball Game,"Documentary,Short,Sport",4.3,1898
Bébé et fillettes,"Documentary,Short",4.8,1896
The Czar and His Cortege Going to Versailles,"Documentary,Short",5.0,1896
The Czar's Cortege in the Bois de Boulogne,"Documentary,Short",4.7,1896
Dancing Girls,Short,4.5,1896
Dessinateur express,Short,4.4,1896
Dessinateur: Chamberlain,Short,4.1,1896
Dessinateur: Reine Victoria,Short,4.3,1896
Dessinateur: Von Bismark,Short,4.4,1896
Démolition d'un mur,"Documentary,Short",6.4,1896
The Conjuring of a Woman at the House of Robert Houdin,"Short,Horror",6.4,1896
Exit of Rip and the Dwarf,"Drama,Short",4.5,1896
The House of the Devil,"Short,Horror",6.7,1896
Miss de Vere,Short,4.8,1896
Rip Leaving Sleepy Hollow,"Drama,Short",4.5,1896
Rip Meeting the Dwarf,"Short,Fantasy",4.6,1896
Rip Passing Over the Mountain,"Short,Fantasy",4.5,1896
Rip's Toast,"Drama,Short",4.5,1896
Rip's Toast to Hudson,"Short,Fantasy",4.6,1896
Rip's Twenty Years' Sleep,"Drama,Short",4.4,1896
The Soldier's Courtship,"Short,Comedy",4.7,1896
Conjuring,Short,5.9,1896
